【合租】笋岗 风格名苑 3室次卧,风格名苑,1890,http://sz.58.com/pinpaigongyu/27194407869004x.shtml
【整租】莲塘 【城市起点公寓】 3室2厅,【整租】莲塘,6000,http://sz.58.com/pinpaigongyu/27227604232635x.shtml
【整租】莲塘 新世界四季御园 3室2厅,新世界四季御园,6000,http://sz.58.com/pinpaigongyu/27213767639339x.shtml
【合租】洪湖 洪湖花园 4室次卧,洪湖花园,2160,http://sz.58.com/pinpaigongyu/27183350876483x.shtml
【整租】火车站 【城市起点公寓】 3室2厅,【整租】火车站,5800,http://sz.58.com/pinpaigongyu/27158650336443x.shtml
【整租】东门 金鼎大厦 2室2厅,金鼎大厦,5500,http://sz.58.com/pinpaigongyu/27269247949630x.shtml
【合租】黄贝岭 集浩花园 4室主卧,集浩花园,1890,http://sz.58.com/pinpaigongyu/27185160218694x.shtml
【整租】黄贝岭 金城华庭 1室1厅,金城华庭,3830,http://sz.58.com/pinpaigongyu/27185576231359x.shtml
【整租】笋岗 宝龙嘉园 3室2厅,宝龙嘉园,6500,http://sz.58.com/pinpaigongyu/27141268250191x.shtml
【整租】莲塘 新世界四季御园 3室2厅,新世界四季御园,5800,http://sz.58.com/pinpaigongyu/27269182737227x.shtml
【整租】洪湖 【城市起点公寓】 3室2厅,【整租】洪湖,6000,http://sz.58.com/pinpaigongyu/27269126339136x.shtml
【合租】翠竹 马古岭小区 4室主卧,马古岭小区,1690,http://sz.58.com/pinpaigongyu/27251417099586x.shtml
【合租】蔡屋围 骏庭名园 4室主卧,骏庭名园,2360,http://sz.58.com/pinpaigongyu/27103539171242x.shtml
【整租】人民南 和平广场 2室1厅,和平广场,5950,http://sz.58.com/pinpaigongyu/27194436204587x.shtml
【整租】泥岗 【城市起点公寓】 3室2厅,【整租】泥岗,6000,http://sz.58.com/pinpaigongyu/27183451943081x.shtml
【合租】黄贝岭 金城华庭 3室主卧,金城华庭,2090,http://sz.58.com/pinpaigongyu/27136630274384x.shtml
【整租】笋岗 吾家SOHO社区 1室1厅,吾家SOHO社区,3680,http://sz.58.com/pinpaigongyu/27161910906685x.shtml
【合租】布心 布心花园二区 3室主卧,布心花园二区,1590,http://sz.58.com/pinpaigongyu/27204945054786x.shtml
【合租】黄贝岭 金枫花园 4室次卧,金枫花园,1530,http://sz.58.com/pinpaigongyu/27258462377267x.shtml
【合租】黄贝岭 景贝南小区 3室主卧,景贝南小区,1890,http://sz.58.com/pinpaigongyu/27094272869316x.shtml
